age_yrs,n_bedrooms,house_sqm,garden_sqm,pollution_idx,crime_idx,distance_to_station_km
10,2,177,0,46,38,4.98
10,2,108,45,56,45,6.08
13,2,207,0,32,74,4.61
6,3,225,57,46,39,3.55
10,2,229,102,56,44,3.65
16,3,192,82,39,77,2.24
12,3,193,80,47,41,6.19
10,3,167,0,44,43,4.53
9,3,190,0,38,28,5.73
10,2,198,66,44,55,4.84
8,2,221,30,47,41,5.45
16,2,104,58,40,74,4.53
13,3,203,86,68,57,4.89
10,4,257,94,75,68,2.21
10,2,112,57,29,45,5.1
19,4,277,110,74,71,2.29
12,2,159,102,65,29,5.02
11,4,250,103,71,40,4.15
15,3,191,70,54,52,3.38
12,2,176,70,41,40,4.02
11,2,164,65,29,65,6.4
10,1,135,65,40,58,5.94
11,3,205,72,65,60,4.29
11,2,201,39,55,43,6.59
15,3,220,105,23,31,3.76
10,3,195,74,34,27,3.54
14,3,173,0,69,66,5.6
15,2,186,0,56,54,4.85
12,3,206,113,53,56,3.95
11,3,248,0,78,28,4.17
12,2,162,0,26,28,6.85
9,3,126,76,47,34,4.49
12,2,142,0,51,44,3.5
14,3,213,0,41,44,4.74
10,2,181,93,32,55,4.5
9,3,198,97,51,52,4.64
12,2,163,0,56,59,4.84
17,3,198,86,48,52,2.86
10,2,132,0,34,33,6.71
20,3,278,121,77,56,3.73
11,2,178,96,40,31,6.01
11,1,119,82,17,27,5.73
14,3,161,59,52,34,4.48
12,3,271,69,56,57,2.25
8,3,175,81,61,29,4.89
9,2,227,38,63,56,3.93
10,2,178,0,50,63,5.0
15,2,114,20,60,47,6.1
14,2,174,0,74,62,4.57
11,2,167,70,39,60,5.21
7,3,168,0,55,36,6.42
10,3,226,90,62,18,3.79
9,2,177,0,29,52,5.17
11,2,244,0,77,70,3.89
8,3,244,75,40,37,4.51
17,4,229,0,49,46,3.95
9,1,115,0,48,41,6.41
8,3,257,59,36,34,3.96
15,3,173,62,70,66,2.48
12,3,202,62,60,21,4.86
9,2,115,48,51,47,5.74
13,2,118,60,58,59,5.6
5,3,217,0,51,44,4.9
9,3,239,72,67,52,4.37
11,2,179,99,56,53,4.68
12,3,187,78,51,36,4.65
7,3,218,65,59,54,4.7
16,2,117,67,61,59,6.24
11,3,142,67,64,57,4.26
8,3,181,69,40,43,4.71
9,2,178,0,42,34,5.08
16,4,251,93,59,60,0.1
11,2,169,81,49,85,6.31
